trajectory,role,rbf_marginal_sd_K,st_innovation_sd_K,time_lag_s
DiagonalScanPath_1,evaluation,3.4305133895116966,0.7159318740849085,0.0004999999999999935
DiagonalScanPath_2,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
DiagonalScanPath_3,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
DiagonalScanPath_4,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
DiagonalScanPath_5,evaluation,3.4305133895116966,0.7159318740849036,0.0004999999999999866
DiagonalScanPath_6,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
DiagonalScanPath_7,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
DiagonalScanPath_8,calibration,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_1,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_2,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_3,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_4,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_5,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_6,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_7,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_8,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_10,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_11,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_12,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
HorizontalScanPath_13,calibration,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_1,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_2,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_3,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_4,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_5,evaluation,3.4305133895116966,0.7159318740849036,0.0004999999999999866
SpiralScanPath_6,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_7,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_8,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_9,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_10,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_11,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_12,evaluation,3.4305133895116966,0.7159318740849122,0.0005000000000000004
SpiralScanPath_13,calibration,3.4305133895116966,0.7159318740849122,0.0005000000000000004
