trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
HorizontalScanPath_2,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.846306620288735,3.7305614149742303,-3.7305614149742303,2.7376666664434373,0.8076923076923077,10.114515594846155,2.62674012976174
HorizontalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5538626995600766,0.1899089658019592,-0.03042463669711457,0.5724704300462528,0.9976009596161536,8.818371802444684,2.303690180971526
HorizontalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,3.004969535093033,1.7685562255869065,-1.756855419991281,1.4341921635531651,0.9210526315789473,9.655595775824757,2.5482257203772205
HorizontalScanPath_3,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,5.017953803551477,3.9137318348881385,-3.9137318348881385,2.874388467438366,0.7692307692307693,9.961524284400396,2.629059228463576
HorizontalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5296814401529142,0.1806827056352015,-0.04134025536070957,0.570176042036716,0.998000799680128,8.848617564715209,2.3115245382382854
HorizontalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.876127656265126,1.758091660046975,-1.20540636318336,1.386225863881055,0.9342105263157895,9.760110912357451,2.5485353679115192
HorizontalScanPath_4,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.7324183995897355,3.5997469934883033,-3.5997469934883033,2.6381118680698687,0.8076923076923077,10.041876439857667,2.638314498549965
HorizontalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5381998919186273,0.19919831252010753,0.018055649470393544,0.5718828145929775,0.9984006397441023,8.825207556746902,2.3071887953887305
HorizontalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.8574984224018976,1.7435093372803743,-0.9704451102764213,1.3422287974642344,0.9473684210526315,9.679613637785963,2.514500019480956
HorizontalScanPath_5,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.703141644670283,3.5250796448232986,-3.5250796448232986,2.570885058311131,0.8461538461538461,10.207160057308904,2.6412410859727258
HorizontalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5396867552357898,0.20824792400528963,0.0028362404359393682,0.5767525697729042,0.9976009596161536,8.85906831276237,2.3139938965084417
HorizontalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,above_camera_ceiling,76,2.660523821204679,1.5734594216817859,-1.0051910914641373,1.2704696372714743,0.9342105263157895,9.823510791326322,2.560411649391952
HorizontalScanPath_6,evaluation,Legacy latent-clipped mean + joint advective ST,top_1pct,26,4.3708943800041755,3.2578906103959513,-3.2578906103959513,2.4130518784388935,0.8076923076923077,10.382954619230494,2.6767426483958143
HorizontalScanPath_7,evaluation,Legacy latent-clipped mean + joint advective ST,overall,2501,0.5437911883766331,0.19981310153370427,-0.0007337681241036377,0.5746019184306828,0.998000799680128,8.841952231555712,2.314463080075905
