trajectory,role,method,region,n_pixels,rmse_K,mae_K,signed_error_K,crps_K,coverage_95,interval_width_95_K,posterior_sd_K
DiagonalScanPath_1,evaluation,Posterior physics mean + RBF,overall,2501,0.5284608269326978,0.20635729631174565,0.05061790400225436,0.7299683265097255,0.9988004798080767,11.45332749617605,2.995921994172222
DiagonalScanPath_1,evaluation,Posterior physics mean + RBF,above_camera_ceiling,76,2.659053736309719,1.6249916330145744,-0.3236636704180973,1.3916884388202955,0.9605263157894737,12.319257041988285,3.200272404519634
DiagonalScanPath_1,evaluation,Posterior physics mean + RBF,top_1pct,26,4.225606089674847,2.953976025595654,-2.1450250588065214,2.3011106844812397,0.8846153846153846,12.777439276290464,3.300578673697914
DiagonalScanPath_1,evaluation,Advective posterior physics mean + RBF,overall,2501,0.5089688874328219,0.18437835263679764,0.04935561345143042,0.7266754234767067,0.9976009596161536,11.457425795427342,2.9956924605915654
DiagonalScanPath_1,evaluation,Advective posterior physics mean + RBF,above_camera_ceiling,76,2.6358575215170634,1.5801741489224757,-0.41994804792705276,1.3510566981633052,0.9342105263157895,12.207162694157484,3.194885481732482
DiagonalScanPath_1,evaluation,Advective posterior physics mean + RBF,top_1pct,26,4.23768355018613,2.965549333776509,-2.12649984283233,2.2501549950958197,0.8076923076923077,12.777960985009912,3.3004310741244067
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential ST (moment-matched),overall,2501,0.4933291397890125,0.17980960131491192,0.045863257712784475,0.20985341458439838,0.9928028788484606,2.539618801915614,0.6642826896777441
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential ST (moment-matched),above_camera_ceiling,76,2.558474370137387,1.4561167323495081,-0.4978985493386581,1.1872667229641158,0.7894736842105263,3.2395793347399584,0.8511757240552401
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential ST (moment-matched),top_1pct,26,4.217531599266887,2.9449859994101906,-2.1498895647767426,2.5709881419941216,0.4230769230769231,3.206196471394413,0.8431269416725921
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential advective ST (moment-matched),overall,2501,0.4927898637894743,0.1797150422379106,0.04618296196449793,0.21067175063430674,0.989204318272691,2.5337929854912145,0.6629033345875804
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential advective ST (moment-matched),above_camera_ceiling,76,2.5552963758274725,1.4546069631998535,-0.4926563904242009,1.1988136579130089,0.6973684210526315,3.1040594977257987,0.8134804704584999
DiagonalScanPath_1,evaluation,Posterior physics mean + sequential advective ST (moment-matched),top_1pct,26,4.212227552233456,2.93836909283615,-2.142042254361826,2.573050503951288,0.34615384615384615,3.0693884941367875,0.8181486754000471
DiagonalScanPath_1,evaluation,Advective posterior mean + sequential advective ST (moment-matched),overall,2501,0.47833526928570286,0.16172774262774917,0.0444213525068508,0.20266426691471728,0.9924030387844862,2.5335266498121194,0.6630747741213168
DiagonalScanPath_1,evaluation,Advective posterior mean + sequential advective ST (moment-matched),above_camera_ceiling,76,2.5505438889616983,1.424865797202313,-0.5783092451954791,1.1620152093172835,0.7763157894736842,3.1174121902033938,0.8185237744959203
