method,field_excess_rel_l2,rmse_K,overall_crps_K,peak_absolute_error_K,above_ceiling_rmse_K,above_ceiling_mae_K,above_ceiling_signed_error_K,above_ceiling_crps_K,above_ceiling_coverage_95,above_ceiling_interval_width_95_K,above_ceiling_posterior_sd_K,top_1pct_rmse_K,top_1pct_mae_K,top_1pct_signed_error_K,top_1pct_crps_K,top_1pct_coverage_95,top_1pct_interval_width_95_K,top_1pct_posterior_sd_K,source_experiment_script,source_output,reuse_status,exact_architecture,prior_mean,covariance_type,update_structure,previous_state_uncertainty,marginal_covariance_or_innovation_sd_K,heldout_trajectory_count,development_trajectory_count,trajectory_weighting,censoring_fraction,observation_stride,measurement_noise_sd_K,likelihood_noise_sd_K,crps_estimator
Posterior physics mean + RBF,0.42423768726890726,0.5153057736977394,0.7279926525921767,7.618286281606195,2.6108367383018347,1.5737153880225712,-0.3809243131668294,1.3586671109903072,0.9495614035087719,12.230718158001961,3.201400658272964,4.173155531890128,2.9266368823225064,-2.3668139417373606,2.242930908631004,0.8551282051282051,12.556988644549604,3.2864140492486884,scripts/28_thermal_one_step_sequential_gp.py,outputs/by_experiment/26_one_step_sequential_gp,rerun for common regional diagnostics; exact reproduction checked,current-only censored GP,posterior physics mean,spatial RBF,current-only,previous censored posterior collapsed to its mean,3.4305133895116975,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Advective posterior physics mean + RBF,0.41873044268136456,0.5089315457741449,0.7270440494186835,7.677939005301728,2.6351576116444204,1.6007202637771782,-0.4834644477378871,1.37091551615903,0.9460526315789474,12.230817048892495,3.2002839100715663,4.223260167911224,3.0129954948113413,-2.451050779114673,2.2808002735498945,0.8435897435897436,12.554098351483216,3.2875446782713054,scripts/28_thermal_one_step_sequential_gp.py,outputs/by_experiment/26_one_step_sequential_gp,rerun for common regional diagnostics; exact reproduction checked,current-only censored GP,advective posterior physics mean,spatial RBF,current-only,previous censored posterior collapsed to its mean,3.4305133895116975,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Legacy latent-clipped mean + joint advective ST,0.44619328177166045,0.5418253553321516,0.5657090448399332,7.694978312722521,2.79274300900497,1.7064997043856243,-0.8151192903739151,1.3526698806318544,0.9223684210526316,9.482756850161042,2.4834587789424702,4.553349242112984,3.400065169573818,-2.9383743893063468,2.544733338066712,0.7756410256410257,9.896624410310917,2.593873307888954,scripts/21_thermal_stochastic_spde_ablation.py,outputs/by_experiment/19_stochastic_spde_ablation,rerun for common regional diagnostics; exact reproduction checked,joint two-frame censored GP,legacy noise-free latent-clipped physics mean,stationary advective stochastic space-time,joint previous and current likelihood,raw previous observations enter joint GP,3.4305133895116975,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Posterior physics mean + sequential ST (moment-matched),0.4073717316308778,0.4951622597526458,0.20960159934777917,7.59820398638671,2.5835348411258274,1.4436663772628602,-0.7404472804398672,1.1927067898206272,0.7903508771929825,3.354406695569123,0.8765030428067214,4.3022291559467325,3.1585571628415807,-2.6343250582184625,2.737547605339473,0.4153846153846154,3.5132991270287612,0.9201000807166297,scripts/28_thermal_one_step_sequential_gp.py,outputs/by_experiment/26_one_step_sequential_gp,rerun for common regional diagnostics; exact reproduction checked,one-step sequential censored GP,posterior physics mean,finite-step stochastic ST C + B Sigma B^T,sequential; current likelihood uses Y_n only,censored-region posterior moment matched,0.7159318740849117,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Posterior physics mean + sequential advective ST (moment-matched),0.407393048136946,0.49510663548743883,0.20988940356442073,7.639359342017392,2.5826024643048617,1.4412608408870333,-0.7355624218423592,1.1965540942481454,0.7706140350877193,3.1736401340535725,0.8317439645034433,4.3016681142430055,3.1542403066853217,-2.622394691421904,2.749229122294025,0.38846153846153847,3.330478775720964,0.8730986096587142,scripts/28 and 29 (same implementation),outputs/by_experiment/26 and 27,rerun; duplicate requested labels collapsed to one row,one-step sequential censored GP,posterior physics mean,finite-step advective stochastic ST C + B_adv Sigma B_adv^T,sequential; current likelihood uses Y_n only,censored-region posterior moment matched,0.7159318740849117,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Advective posterior mean + sequential advective ST (moment-matched),0.4044589184225702,0.4922940447375632,0.20569330363751312,7.662601921562859,2.622555797520359,1.4778310881322723,-0.866998749916272,1.2333967515926887,0.7539473684210526,3.1775035256989113,0.8309143232948943,4.367262303163353,3.2602571539417835,-2.737581106707149,2.8430061174009116,0.35769230769230764,3.3240942593608183,0.8710835009333999,scripts/28_thermal_one_step_sequential_gp.py,outputs/by_experiment/26_one_step_sequential_gp,rerun for common regional diagnostics; exact reproduction checked,one-step sequential censored GP,advective posterior physics mean,finite-step advective stochastic ST C + B_adv Sigma B_adv^T,sequential; current likelihood uses Y_n only,censored-region posterior moment matched,0.7159318740849117,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
Posterior-sample mixture sequential advective ST,0.40715747571736893,0.49497483577808216,0.2099409573634608,7.635436638109591,2.5809824129812653,1.4420275484978626,-0.7277479990051529,1.196938605606427,0.7728070175438596,3.1907120051978586,0.8391268859576442,4.296549797582079,3.1489342454903246,-2.619753925657082,2.7447599451586484,0.3987179487179487,3.352242418660968,0.878881717793176,scripts/29_thermal_full_posterior_sequential.py,outputs/by_experiment/27_full_posterior_sequential,reused exact saved held-out posterior metrics,one-step sequential finite Gaussian-mixture censored GP,posterior physics mean plus propagated centered sample component,shared finite-step advective innovation C,sequential mixture; current likelihood uses Y_n only,censored-region posterior samples retained and reweighted,0.7159318740849117,30,3,equal weight per trajectory,0.03,5,0.25,0.5,unbiased M(M-1)
