scenario,method,n_seeds,field_rel_l2_mean,field_rel_l2_std,hot_region_rel_l2_mean,peak_abs_error_mean,posterior_sd_at_true_peak_mean,peak_interval_width_mean,true_peak_coverage,selected_lengthscale_mean
fixed_ell_0.55,exact clipped,30,0.22409283115872541,0.0008542565486227068,0.28978798376779863,473.12848319543696,11.192394826987387,43.87418772179058,0.0,0.5500000000000002
fixed_ell_0.55,discard saturated,30,0.21989265149871923,0.04425425290137305,0.28428138506380396,382.82816591732177,390.3159372607382,1530.0384740620939,1.0,0.5500000000000002
fixed_ell_0.55,censored Laplace,30,0.1270382439185246,0.03992932616159088,0.16201608823907393,247.75378880236488,305.9849006184007,1199.4608104241308,0.8333333333333334,0.5500000000000002
fixed_ell_0.55,censored sampled,30,0.051022812897727636,0.016187342000859126,0.05788161308375627,68.85459409985188,253.9056106154451,951.1197819543935,1.0,0.5500000000000002
fixed_ell_0.55,oracle true,30,9.041990572895926e-05,0.0,0.00011739130075366428,0.20633760470423113,11.192394826987387,43.87418772179035,1.0,0.5500000000000002
unsat_mll_tuned,exact clipped,30,0.21969672883931196,0.0010220337170540883,0.28354814399347666,459.7201505992832,7.590121947691349,29.753278034950092,0.0,1.2712371166620675
unsat_mll_tuned,discard saturated,30,0.0929488554150591,0.02353583034694762,0.11854592365657238,194.51830667820906,49.51712486821518,194.10712948340344,0.1,1.2712371166620675
unsat_mll_tuned,censored Laplace,30,0.07313801205281983,0.02101853149573142,0.09204962452387204,153.97833198190085,42.853044453865536,167.983934259153,0.1,1.2712371166620675
unsat_mll_tuned,censored sampled,30,0.07192059296575386,0.020944675607948673,0.09032561792058492,151.0795584093621,42.87917787303498,166.50072251641672,0.1,1.2712371166620675
unsat_mll_tuned,oracle true,30,0.011386979342668028,0.003921230550647301,0.009846543112092753,16.506018773502728,7.590121947691349,29.75327803495008,0.4,1.2712371166620675
