trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,setting,fraction_saturated,signal_multiplier,noise_multiplier,beta_multiplier,length_multiplier
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.37805699203089566,0.3955817980896085,336.214847986714,341.6724413525605,5.457593365846492,0.3305148375847056,False,0.9852059176329468,0.618421052631579,0.7600848729653339,1.6487622726533584,11.529330318280158,2.2644789056460244,50.41832794975363,1.0,False,0.618421052631579,2.2644789056460244,50.41832794975363,base,0.03,1.0,1.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,2.5728850421337723,0.17022272061337845,2,381,152,296.12149833303096,0.3947994811137821,0.4170672314861556,336.214847986714,341.95011112730015,5.735263140586142,0.26608692807547063,False,0.9796081567373051,0.40789473684210525,0.5929603310157964,1.927118911920757,8.659417988442664,1.498868663274974,66.67805902988279,1.0,False,0.40789473684210525,1.498868663274974,66.67805902988279,signal x0.75,0.03,0.75,1.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,5.145770084267545,0.17022272061337845,2,381,152,296.12149833303096,0.3828253866898436,0.4043263449225068,336.214847986714,341.9907634136128,5.775915426898791,0.2823397983794659,False,0.9804078368652539,0.4342105263157895,1.1166314308387983,1.8810554299686468,17.233886505452855,2.130352727128081,63.72512595695632,1.0,False,0.4342105263157895,2.130352727128081,63.72512595695632,signal x1.5,0.03,1.5,1.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,6.861026779023393,0.17022272061337845,2,381,152,296.12149833303096,0.3851605098867655,0.40535092146790747,336.214847986714,342.28582116897894,6.070973182264936,0.340085630069615,False,0.9836065573770492,0.5263157894736842,1.4638271576283794,1.832198513095684,22.894096135724773,2.6990651490996775,59.305579780447154,1.0,False,0.5263157894736842,2.6990651490996775,59.305579780447154,signal x2,0.03,2.0,1.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3994390419632366,0.4228538106804808,336.214847986714,341.8515387185672,5.636690731853207,0.1435139973057025,False,0.9620151939224311,0.2631578947368421,0.7711777366877828,2.0591463259727965,11.48333922929686,1.2216407256036945,75.14796104603663,1.0,False,0.2631578947368421,1.2216407256036945,75.14796104603663,noise x0.5,0.03,1.0,0.5,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.39068922875643525,0.4108589894825245,336.214847986714,341.4549775525503,5.240129565836298,0.5043831255876248,False,0.9872051179528188,0.5789473684210527,0.7644701560047926,1.745548539516773,11.59000808103779,2.589042558982153,52.92481752378719,1.0,False,0.5789473684210527,2.589042558982153,52.92481752378719,noise x2,0.03,1.0,2.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.378169227693589,0.3962247242543562,336.214847986714,341.34188752760764,5.127039540893634,0.7525078222713746,False,0.9916033586565374,0.7236842105263158,0.764447989156341,1.5838497030469552,11.692274778465327,3.6019554841355435,41.56264407935444,1.0,False,0.7236842105263158,3.6019554841355435,41.56264407935444,noise x3,0.03,1.0,3.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3911551156707731,0.4042421343841724,336.214847986714,341.38392644429655,5.169078457582543,1.0121040529425436,False,0.9928028788484606,0.7763157894736842,0.7698315494305935,1.6236890988759585,11.75721432490563,4.322085604531434,38.960469747511375,1.0,False,0.7763157894736842,4.322085604531434,38.960469747511375,noise x4,0.03,1.0,4.0,1.0,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,6.211450785264989,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3997667328192538,0.4229680623866635,336.214847986714,341.84784239708455,5.632994410370543,0.258299478141575,False,0.9776089564174331,0.3684210526315789,0.7666812454511273,1.982235846779871,11.454906157105082,1.6807069028175858,67.85983990597865,1.0,False,0.3684210526315789,1.6807069028175858,67.85983990597865,beta x0.5,0.03,1.0,1.0,0.5,1.0
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,24.845803141059957,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.3940572094542619,0.41671690006090356,336.214847986714,341.83750297117683,5.622654984462827,0.2548228714399777,False,0.9800079968012795,0.4342105263157895,0.7702217737756707,1.9167447657587726,11.51961589650521,1.6955412459084906,65.94787619496876,1.0,False,0.4342105263157895,1.6955412459084906,65.94787619496876,beta x2,0.03,1.0,1.0,2.0,1.0
