trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,history_setup,history_lags_s,fraction_saturated
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,381,152,296.12149833303096,0.352542912908127,0.35761938925422465,336.214847986714,342.42458478038185,6.209736793667844,0.6293711957030161,False,0.9936025589764095,0.8026315789473685,0.7192735190268337,1.3740214096302872,11.02778334832935,3.2872904537212175,35.42184600665726,1.0,False,0.8026315789473685,3.2872904537212175,35.42184600665726,two frames,0.0;0.01,0.03
DiagonalScanPath_8,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,4,760,304,296.12149833303096,0.3951819606598561,0.4137138066154411,336.214847986714,342.24967364498355,6.03482565826954,0.48165620838590345,False,0.9856057576969213,0.5263157894736842,0.7298814920956954,1.8675443920580024,10.877746009684682,1.8170448088116975,59.69762901557951,1.0,False,0.5263157894736842,1.8170448088116975,59.69762901557951,four frames,0.0;0.01;0.025;0.05,0.03
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,371,143,296.4959614680289,0.3604736057759136,0.37891783173873583,319.1296936365724,306.73822333969656,12.391470296875866,0.6349344403879997,False,0.9908036785285885,0.7236842105263158,0.7137535591341592,1.1331896268619779,11.022676503973917,3.1261079267178897,25.080564641444933,1.0,False,0.7236842105263158,3.1261079267178897,25.080564641444933,two frames,0.0;0.01,0.03
HorizontalScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,4,737,281,296.4959614680289,0.40232914772371764,0.42373008471350243,319.1296936365724,306.50196624347643,12.627727393095995,0.7298504952614371,False,0.9876049580167933,0.618421052631579,0.7168141370703595,1.3343687069403287,10.934136650467794,2.3575527204531634,35.587386448334335,1.0,False,0.618421052631579,2.3575527204531634,35.587386448334335,four frames,0.0;0.01;0.025;0.05,0.03
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,382,154,296.4901280292387,0.29927626392336154,0.3102869098056307,335.7083806056465,334.24271726670173,1.4656633389447506,0.4594186788724831,False,0.9908036785285885,0.7631578947368421,0.7101301722919052,1.1515174104064965,10.875379537741967,2.392449824124375,29.321428996640204,1.0,False,0.7631578947368421,2.392449824124375,29.321428996640204,two frames,0.0;0.01,0.03
SpiralScanPath_13,physics mean + space-time,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,4,788,333,296.4901280292387,0.3110939214389831,0.34757719969851103,335.7083806056465,334.3361410388174,1.37223956682908,0.42824277215823414,False,0.9876049580167933,0.5921052631578947,0.7072534464410805,1.41048549030456,10.77493776934807,2.050691717318554,43.23255014592856,1.0,False,0.5921052631578947,2.050691717318554,43.23255014592856,four frames,0.0;0.01;0.025;0.05,0.03
