fraction_saturated,method,excess_field_rel_l2,hot_region_rel_l2,peak_absolute_error_K,hot_region_crps_K,hot_region_95_coverage,true_peak_in_95,hot_region_95_interval_width_K,hot_region_interval_score_K,calibrated_hot_region_95_coverage,calibrated_true_peak_in_95,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K
0.01,snapshot RBF,0.6600521623573392,0.6190162220138886,23.621173206245544,2.9695821792351382,0.7230769230769231,0.0,5.778206356916093,74.11666320914752,0.9371794871794872,0.1,24.564278980208872,50.185518544662926
0.01,space-time heat,0.6563522732134387,0.6454105629676171,24.47864627065582,3.150495860011373,0.6294871794871795,0.0,4.3539254602515225,89.06676971211452,0.9666666666666667,0.43333333333333335,47.61961884081527,58.65082835902891
0.01,physics mean + RBF,0.3847455013107679,0.34906383168961524,6.461348540452462,2.074083908256142,0.7461538461538461,0.3333333333333333,8.03085393083507,21.707839263820564,0.9923076923076923,0.8666666666666667,20.429802632043472,21.02774061189289
0.01,physics mean + space-time,0.4308014279609072,0.3564976968964713,6.693323803516217,2.1280098239239793,0.6743589743589743,0.16666666666666666,6.819703800503197,29.743407147557857,0.9974358974358974,0.9666666666666667,40.56371942099331,40.622558188390734
0.03,snapshot RBF,0.7089132249728112,0.7093022746811378,27.32576525632822,1.7973242691617801,0.7013157894736842,0.0,3.18176677624179,49.34219264090789,0.9280701754385965,0.0,13.52630936207634,37.719191416220454
0.03,space-time heat,0.7135046372600322,0.7412782628221926,28.857394095340243,1.8833983376785335,0.6100877192982457,0.0,2.186119916683152,59.553642825313815,0.9557017543859648,0.0,23.90996311791535,41.1866005733043
0.03,physics mean + RBF,0.46697323115685824,0.43027970116162856,7.428510563336611,1.4491967523753926,0.7241228070175438,0.13333333333333333,4.502658805429501,25.13184738224946,0.9399122807017544,0.26666666666666666,11.4543772687934,19.13549696879088
0.03,physics mean + space-time,0.4206775135313465,0.4254909729381675,7.584045630150936,1.3361696961126994,0.6491228070175439,0.0,2.4656922192115447,36.33140933221114,0.9385964912280702,0.43333333333333335,14.665981145873749,22.30564066440235
0.05,snapshot RBF,0.7440361512303363,0.7563258671952646,29.361962496927266,1.429832413931607,0.6616402116402116,0.0,2.0902222195766695,43.37450002917193,0.9171957671957672,0.0,8.885941165956583,31.657627054331293
0.05,space-time heat,0.7464301150524857,0.7648488498290429,29.80628633834288,1.4619104097717477,0.6441798941798942,0.0,1.9302325778339422,46.18379295634728,0.9671957671957672,0.0,21.11128003217277,33.78767745430456
0.05,physics mean + RBF,0.4588537510563015,0.4536785347234203,7.992566921597208,1.0719309290823549,0.6888888888888889,0.03333333333333333,2.2070653770568485,28.56774182455102,0.8777777777777778,0.1,5.614584754948899,21.04845929495159
0.05,physics mean + space-time,0.46425951321322406,0.46700973503034804,8.018551710759366,1.124163126229319,0.6484126984126984,0.0,1.9672679823779078,32.162205547602944,0.9425925925925926,0.2,11.701344926035201,19.453617361703035
0.1,snapshot RBF,0.8087764441220736,0.8009790313348333,30.586783718682465,1.0726281265699378,0.6749003984063745,0.0,1.7790161626168508,31.67444762388954,0.9298804780876494,0.0,7.562943693853186,21.763695684828065
0.1,space-time heat,0.8137068129825219,0.805250325880767,30.754217118530747,1.0888349306225868,0.6675962815405047,0.0,1.7561050344568867,32.39751152527161,0.9812749003984064,0.0,19.206817651959238,26.41447906998949
0.1,physics mean + RBF,0.5407375652313255,0.5247440253991928,8.426541469593758,0.8983035143648018,0.6790172642762283,0.03333333333333333,1.7865220538832822,24.648671524085085,0.8630810092961487,0.06666666666666667,4.544758661154381,17.181766487192608
0.1,physics mean + space-time,0.5475870166830538,0.5304269891829807,8.476320756279545,0.9155499652935046,0.6691899070385127,0.03333333333333333,1.754372802367474,25.406583729317116,0.9605577689243029,0.2,10.435040611266006,15.714445320404934
