family,fraction_saturated,method,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,hot_region_rel_l2_mean,hot_region_rel_l2_std,hot_region_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,true_peak_in_95_mean,true_peak_in_95_std,true_peak_in_95_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count,hot_region_interval_score_K_mean,hot_region_interval_score_K_std,hot_region_interval_score_K_count,calibrated_hot_region_95_coverage_mean,calibrated_hot_region_95_coverage_std,calibrated_hot_region_95_coverage_count,calibrated_true_peak_in_95_mean,calibrated_true_peak_in_95_std,calibrated_true_peak_in_95_count,calibrated_hot_region_95_interval_width_K_mean,calibrated_hot_region_95_interval_width_K_std,calibrated_hot_region_95_interval_width_K_count,calibrated_hot_region_interval_score_K_mean,calibrated_hot_region_interval_score_K_std,calibrated_hot_region_interval_score_K_count
Diagonal,0.01,snapshot RBF,0.6878668740097746,0.026821524986196738,7,0.6680730691057448,0.02111625848410269,7,29.008596988814848,2.844660795112791,7,3.5371791421833096,0.3300203431046228,7,0.7087912087912088,0.04893915463695012,7,0.0,0.0,7,5.714491646613426,0.582839844642736,7,95.26364313116984,10.83665834082299,7,0.9175824175824177,0.026540983051629042,7,0.0,0.0,7,24.293415355349822,2.477765531417777,7,61.52452592875694,10.208292310553999,7
Diagonal,0.01,space-time heat,0.696870609352016,0.03803685978688057,7,0.6999075855244242,0.035381931703092354,7,29.12647199528757,3.4893071782670098,7,3.787770603079275,0.5889013065188101,7,0.6043956043956044,0.13454995793612967,7,0.0,0.0,7,4.512497829550396,0.49798146683281025,7,115.0053075408769,18.79255609250959,7,0.9505494505494507,0.036584220431205385,7,0.42857142857142855,0.5345224838248488,7,49.35395165235152,5.446507492344299,7,62.991809662655726,15.318915122659917,7
Diagonal,0.01,physics mean + RBF,0.3561145527498443,0.04435357187929498,7,0.32867879588045756,0.016352548094596922,7,4.993471507589301,3.1037910312909576,7,2.2792408238627444,0.21353650190318013,7,0.6923076923076924,0.0587509704481518,7,0.42857142857142855,0.5345224838248488,7,8.198430011229606,0.4282268319085011,7,25.938248297052898,7.601233441881511,7,0.989010989010989,0.018767309095164095,7,1.0,0.0,7,20.856101787500272,1.0893722800815802,7,21.803359244536512,1.7210016255705582,7
Diagonal,0.01,physics mean + space-time,0.40523043805709885,0.03272912161397301,7,0.33324880187806866,0.03257791800374571,7,4.3422954996191265,3.349135338155199,7,2.358697452227065,0.3790014245856014,7,0.6208791208791208,0.08137311315576216,7,0.42857142857142855,0.5345224838248488,7,7.289693606932652,1.0823383268309805,7,32.89742705747626,10.300349104310854,7,1.0,0.0,7,1.0,0.0,7,43.35922714338511,6.437767605818859,7,43.35922714338511,6.437767605818859,7
Diagonal,0.03,snapshot RBF,0.7761207442534416,0.0383300111415166,7,0.771504715171634,0.03137581387924945,7,31.85775824403577,3.073851162794465,7,2.1560557468138493,0.22509642790616846,7,0.6635338345864661,0.09422900646236301,7,0.0,0.0,7,3.769267308258722,0.8016384716291678,7,56.05485815698845,7.820911340519653,7,0.9342105263157894,0.022790142204853685,7,0.0,0.0,7,16.023888381941482,3.4079210471252313,7,44.994601720261265,4.2244270017620975,7
Diagonal,0.03,space-time heat,0.7817036773173484,0.05122047725114693,7,0.8002470628569175,0.044807141460605486,7,34.24761166466244,2.519629617439762,7,2.128623490887912,0.17789673114745927,7,0.599624060150376,0.11467192525589781,7,0.0,0.0,7,2.2334694164152333,0.4095093920902287,7,68.49375818976569,8.233298614579613,7,0.949248120300752,0.014066381153285444,7,0.0,0.0,7,24.427832601472087,4.478873453645238,7,47.58741005959822,2.65767434532612,7
Diagonal,0.03,physics mean + RBF,0.46257519663432695,0.035075713611789704,7,0.4241147721144668,0.03679882505111237,7,5.282619101721504,2.7011657992849774,7,1.6805002810787664,0.2908520816540177,7,0.7011278195488722,0.10627645119506762,7,0.14285714285714285,0.37796447300922725,7,5.314673059905766,1.5481986416520908,7,27.146511780949236,5.591643426556651,7,0.9454887218045113,0.03677042794767221,7,0.2857142857142857,0.48795003647426666,7,13.52007178848329,3.938484369975476,7,20.60142415885498,3.6778840098426486,7
Diagonal,0.03,physics mean + space-time,0.40682587606363396,0.02694179057406793,7,0.4017752113120498,0.02078524920280394,7,5.101736386185921,2.362754434158717,7,1.4156597184085637,0.08919811681417358,7,0.6390977443609023,0.0661643455142783,7,0.0,0.0,7,2.5413000170837114,0.5902905806789767,7,38.56195578997908,4.46610164861029,7,0.9417293233082706,0.01989286700048567,7,0.8571428571428571,0.37796447300922725,7,15.115697671494624,3.511058865892455,7,22.98243372883411,3.3649473736127877,7
Diagonal,0.05,snapshot RBF,0.8062062489129468,0.04938100439735833,7,0.8133534638446077,0.04565500942276794,7,34.7881955381111,2.8842499799908277,7,1.585514088558843,0.09812476886908214,7,0.6428571428571429,0.03860983999821806,7,0.0,0.0,7,2.05245660267634,0.12550136724303448,7,49.60641150928414,3.748800823310363,7,0.9149659863945578,0.017576743694986366,7,0.0,0.0,7,8.725392183781688,0.5335307199033478,7,37.08597318615644,1.85398369073075,7
Diagonal,0.05,space-time heat,0.8143007395503915,0.037382727869296285,7,0.8256887403868788,0.03033418910457214,7,35.22217587575608,2.6827589736062323,7,1.6424815577283434,0.15333893339924443,7,0.6360544217687075,0.05749242201216872,7,0.0,0.0,7,1.9017702967979253,0.11783190193288381,7,53.352817346899144,5.800755511103168,7,0.9637188208616781,0.004242241935117906,7,0.0,0.0,7,20.799983252600207,1.2887474323017238,7,38.22157506433742,1.500186315561074,7
