trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,stage,forcing_length_multiplier,forcing_lengthscale_m,base_forcing_intensity_K2_per_s,forcing_amplitude_multiplier,forcing_marginal_variance_K2
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.37763908492058346,0.3783945788681608,336.214847986714,343.811929251333,7.597081264619021,1.4961739681582995,False,0.01879248300679728,0.5921052631578947,0.17392948627359223,1.556845818542124,0.08660321870139415,2.621180166349619,42.410233670346635,1.0,False,0.5921052631578947,2.621180166349619,42.410233670346635,3.632451758599968,4.005456584637056,1.556845818542124,1.818873590020875,1.0756482756539625,1.2539553938741506,0.6498024435766669,0.7393129739212985,6.868202636343419,7.597081264619021,6.868202636343391,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.3689403437599726,0.37299720089277766,336.214847986714,343.6419255851448,7.427077598430799,1.1197737880082228,False,0.018392642942822873,0.5657894736842105,0.1592623525986459,1.5111539586063525,0.07795994025304119,2.1910883781017465,43.55680537117998,1.0,False,0.5657894736842105,2.1910883781017465,43.55680537117998,3.628457840490959,3.944250561670209,1.5111539586063525,1.7222670763206458,1.0560201904234738,1.2079166605786165,0.6198340632138943,0.6988775788071094,6.8319634531888775,7.427077598430799,6.83196345318887,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
HorizontalScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.38482034871311155,0.4061284765639309,319.1296936365724,307.05817500792443,12.071518628647993,0.41037016066677795,False,0.01879248300679728,0.5921052631578947,0.15687175360703134,1.2743439850980347,0.08076363202904448,2.5505957667287005,32.084504758477046,1.0,False,0.5921052631578947,2.5505957667287005,32.084504758477046,2.878582861770128,3.235198159119407,1.2743439850980347,1.4952997200508182,0.8511931285710126,0.9906026144286576,0.5201136981139206,0.5900981267849231,11.855971835493134,12.071518628647993,11.855971835493134,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
HorizontalScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3776565855821089,0.40628967218279727,319.1296936365724,306.98572893439666,12.143964702175765,0.3712631080687298,False,0.022391043582566973,0.6052631578947368,0.14351893247349806,1.2668751629641675,0.07645861386221717,2.385502823658563,32.901837114206366,1.0,False,0.6052631578947368,2.385502823658563,32.901837114206366,2.9323850415647295,3.263047361777084,1.2668751629641675,1.4839702890986068,0.8345747319550549,0.972278003512178,0.4979585683144006,0.5676758983376571,11.944781469847799,12.143964702175765,11.944781469847813,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
SpiralScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.29059416421423656,0.30419300997493237,335.7083806056465,335.373621782895,0.33475882275149615,0.6052742487996448,True,0.020791683326669332,0.618421052631579,0.16212343581461064,1.1987435045085069,0.07576679116578171,2.322376794938877,30.946061690239873,1.0,True,0.618421052631579,2.322376794938877,30.946061690239873,2.6178025596082364,2.950873512675643,1.1987435045085069,1.4166423622553244,0.8240897195012399,0.9676211327353346,0.5285807607747659,0.6006374577217718,0.20024018729428295,0.33475882275149615,0.20024018729429977,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
SpiralScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.4901280292387,0.28684963255571805,0.3079505506786229,335.7083806056465,335.3290796490486,0.37930095659788776,0.5049796443765159,True,0.025589764094362255,0.618421052631579,0.15237712185489857,1.2528895285854966,0.07463153736300844,1.9942186998734248,32.47900827068825,1.0,True,0.618421052631579,1.9942186998734248,32.47900827068825,2.752673250828653,3.069227403375709,1.2528895285854966,1.4752234067296879,0.8621620398017784,1.0190680923760926,0.5401358054800968,0.6222453938146018,0.2509568927999523,0.37930095659788776,0.2509568927999564,amplitude,0.5,0.000125,3702.393201358145,0.0,0.0
DiagonalScanPath_8,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.37365242096418905,0.3732410579043849,336.214847986714,344.2393024984813,8.024454511767317,1.6354057938423459,False,0.9920031987205118,0.7763157894736842,0.20884459871871133,1.506401330789436,2.3232326872772076,3.6273041689667322,35.61779057335709,1.0,False,0.7763157894736842,3.6273041689667322,35.61779057335709,3.4320093763384367,3.851280151424436,1.506401330789436,1.8223168254328888,1.034989675440584,1.2625712532779503,0.613277701236959,0.742998029884545,6.970084006830175,8.024454511767317,6.970084006830137,amplitude,0.5,0.000125,3702.393201358145,0.25,0.3782301821586932
DiagonalScanPath_8,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,296.12149833303096,0.366880271992159,0.3707955533556023,336.214847986714,343.828809842716,7.613961856001993,1.3225999790083998,False,0.9920031987205118,0.7894736842105263,0.20228004217518714,1.4734429264634985,2.313861576033006,3.3890941235307066,37.348721686938376,1.0,False,0.7894736842105263,3.3890941235307066,37.348721686938376,3.4285425464835977,3.8299204854337265,1.4734429264634985,1.749371542507934,1.020535347798549,1.2261497694431769,0.602203062306827,0.7062093250366528,6.8093403923615154,7.613961856001993,6.809340392361461,amplitude,0.5,0.000125,3702.393201358145,0.25,0.3782301821586932
HorizontalScanPath_13,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.3800843092462494,0.40022554519177783,319.1296936365724,307.07147969972283,12.058213936849597,0.7403192751293193,False,0.991203518592563,0.7368421052631579,0.19555525815154942,1.2030842190344828,2.316143116642663,3.646484155932542,25.627869901868447,1.0,False,0.7368421052631579,3.646484155932542,25.627869901868447,2.59642806227928,3.041496411911322,1.2030842190344828,1.4979028559027086,0.8116104222695857,0.9985214466592709,0.4951234663970213,0.59348057739074,11.627908140604298,12.058213936849597,11.627908140604285,amplitude,0.5,0.000125,3702.393201358145,0.25,0.3782301821586932
HorizontalScanPath_13,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,296.4959614680289,0.37277144983611976,0.39988473572751415,319.1296936365724,307.0078752644074,12.121818372165023,0.7189034487150799,False,0.9924030387844862,0.75,0.19034196824081837,1.1943815526519153,2.310635901710977,3.4766230522614046,26.12074508301266,1.0,False,0.75,3.4766230522614046,26.12074508301266,2.630093842718822,3.0716105875272253,1.1943815526519153,1.4812683365973511,0.7991055100965333,0.9782797372544696,0.48468270688518916,0.5715293564532746,11.702775330401455,12.121818372165023,11.702775330401394,amplitude,0.5,0.000125,3702.393201358145,0.25,0.3782301821586932
