trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,filter_architecture,previous_observations_reused_in_final_update,forcing_length_multiplier,forcing_lengthscale_m,base_forcing_intensity_K2_per_s,forcing_amplitude_multiplier,forcing_marginal_variance_K2,displacement_m,crps_estimator,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
DiagonalScanPath_1,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.4294029991440326,0.3851136907518022,334.19579037327884,341.3672500501756,7.171459676896745,3.4196267389530575,True,0.9988004798080767,0.9605263157894737,0.7299683265097286,1.3916884388203061,11.45332749617605,12.319257041988282,17.9848650143598,1.0,True,0.9605263157894737,12.319257041988282,17.9848650143598,2.301110684481217,2.953976025595632,1.3916884388203061,1.624991633014635,1.1862983418401283,1.2461193665618913,0.9486735806358431,0.7642456147443686,5.235796354021552,7.171459676896745,5.235796354021631,Diagonal,1,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695114,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.40054636403168586,0.37182942531887836,334.19579037327884,341.49184084751744,7.296050474238598,1.864549499917338,False,0.9976009596161536,0.9210526315789473,0.4267389304819679,1.1951003386551682,6.418680437069292,6.883492669339929,20.96610804021037,1.0,False,0.9210526315789473,6.883492669339929,20.96610804021037,2.356143764346989,2.9452032627183087,1.1951003386551682,1.4831299400612585,0.9214291847210645,1.0712837819394312,0.6687308501610173,0.6518093279134638,6.244053302889624,7.296050474238598,6.244053302889675,Diagonal,1,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695114,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_1,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.3885903948283976,0.3691518160930315,334.19579037327884,341.3542445367514,7.158454163472584,1.7925015749495035,False,0.9968012794882047,0.8947368421052632,0.4237791271576967,1.1706401287700416,6.415408406491637,6.82743368829809,20.367634367643905,1.0,False,0.8947368421052632,6.82743368829809,20.367634367643905,2.3332412157036027,2.9230312826917273,1.1706401287700416,1.4353676599515246,0.9063774025427866,1.0451149798968158,0.6608773494574947,0.6294728117508014,6.220156852453938,7.158454163472584,6.220156852454036,Diagonal,1,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695114,0.0001437529593419603,unbiased_M_times_M_minus_1,85,0.03398640543782487,2.331933136134589,2.0635505257513413,0.47058823529411764
DiagonalScanPath_2,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,294.7833581687172,0.45001204007758955,0.4208153877723474,330.73381085494185,327.4142562418244,3.319554613117475,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,0.728947942398128,1.4124691677417573,11.467866173339916,12.094881551908074,18.455383543214197,1.0,True,0.9473684210526315,12.094881551908074,18.455383543214197,2.554681276486041,3.6108705912425547,1.4124691677417573,1.6119387135174754,1.153155925241213,1.1533146264765308,0.9385624412432046,0.6873267305694661,1.8960160996467923,3.319554613117475,1.6579367654871713,Diagonal,2,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,294.7833581687172,0.43361028747543306,0.41815364162031443,330.73381085494185,327.3864470184938,3.3473638364480394,1.778050046291256,False,0.9960015993602559,0.868421052631579,0.42810680634524356,1.3006843231931868,6.426075439114677,6.775967496381696,23.673103318664147,1.0,False,0.868421052631579,6.775967496381696,23.673103318664147,2.866441996832623,3.632138172669471,1.3006843231931868,1.5168677342463364,0.9512382836577707,1.0168636904606343,0.6800514517158827,0.6084603152255282,2.2475169460626527,3.3473638364480394,2.242312869407819,Diagonal,2,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_2,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,294.7833581687172,0.42978162227353006,0.42039337710292746,330.73381085494185,327.1438817959767,3.58992905896514,1.7608570340824874,False,0.9956017592962815,0.8552631578947368,0.4269121254873094,1.3063164775620206,6.423985698758595,6.786685380163635,23.205349534540485,1.0,False,0.8552631578947368,6.786685380163635,23.205349534540485,2.873479848595573,3.6611654241934426,1.3063164775620206,1.520691846212315,0.9488687985880485,1.017740523449422,0.6807920205472621,0.610665905088704,2.7735667530443484,3.58992905896514,2.7590394245759424,Diagonal,2,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015351501602884935,unbiased_M_times_M_minus_1,76,0.030387844862055178,2.5723192018558456,2.190519750972342,0.5657894736842105
DiagonalScanPath_3,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.9015209525281,0.43389213873423843,0.40831988592733587,326.4740358780628,333.4254850584476,6.95144918038477,3.419801081179824,True,0.9984006397441023,0.9473684210526315,0.7304429741522486,1.4226514039875813,11.458596969806527,12.198357258521256,18.89114723012533,1.0,True,0.9473684210526315,12.198357258521256,18.89114723012533,2.4396810941860947,3.008653202192337,1.4226514039875813,1.5573483966623336,1.1719351438655268,1.1799007729280806,0.9480077616661642,0.7264896893034547,3.5763208337646457,5.58720419666821,5.291281181492266,Diagonal,3,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.9015209525281,0.4237626120994658,0.41260072621812655,326.4740358780628,333.08098141178544,6.606945533722637,2.008693870779277,False,0.9964014394242303,0.881578947368421,0.42906105744362005,1.279042949644042,6.424187561913134,6.932006252043158,25.211790049436164,1.0,False,0.881578947368421,6.932006252043158,25.211790049436164,2.7995065173877767,3.377782012190811,1.279042949644042,1.43357731016474,0.9440309744118958,0.9899056951816039,0.6802105665798946,0.5972530257527452,5.036986496888801,6.001116849814196,5.3848779921184295,Diagonal,3,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_3,sequential advective SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.9015209525281,0.4195606900970732,0.41616302451949266,326.4740358780628,333.21900454398065,6.744968665917838,1.9051586284836375,False,0.9960015993602559,0.868421052631579,0.42761962731166425,1.316557961215123,6.421636706160305,6.850944051847313,25.147386633943228,1.0,False,0.868421052631579,6.850944051847313,25.147386633943228,2.804052723987625,3.4073187021636895,1.316557961215123,1.525060087310223,0.9671519284030778,1.0339647732179371,0.6881835150902151,0.6086970580771595,5.180826120059719,6.0952779934179375,5.5238366860214025,Diagonal,3,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.00015850959871082173,unbiased_M_times_M_minus_1,80,0.03198720511795282,2.5364864097536155,2.032651194332652,0.7
DiagonalScanPath_4,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,295.3585248883726,0.40156888139266955,0.3831209781722815,331.63935958961497,341.79302799975164,10.153668410136675,3.4196320745675792,False,0.998000799680128,0.9342105263157895,0.7309875829418098,1.4613899023850807,11.454065921869729,12.142901514172047,18.803880724188723,1.0,False,0.9342105263157895,12.142901514172047,18.803880724188723,2.32364795455399,2.840442897000239,1.4613899023850807,1.7833016936915653,1.1887438983940375,1.2334244745162848,0.9567076342154041,0.7168396867224014,8.086675295046511,10.153668410136675,8.086675295046527,Diagonal,4,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
DiagonalScanPath_4,sequential diffusive SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,295.3585248883726,0.3837113838936794,0.37524787815813726,331.63935958961497,341.885171849119,10.24581225950402,2.3130885014546814,False,0.9972011195521792,0.9078947368421053,0.42769354587478464,1.2493475610077474,6.4328374389781935,7.284986368774458,21.949810103232938,1.0,False,0.9078947368421053,7.284986368774458,21.949810103232938,2.497686434414649,3.105391618223415,1.2493475610077474,1.5750836097810381,0.9259418502908807,1.0485418826263286,0.6667131574752936,0.6191175726874653,8.758350106661553,10.24581225950402,8.758350106661567,Diagonal,4,evaluation,0.03,previous posterior; predict; current-only update,False,0.5,0.000125,3702.393201358145,2.0,3.0258414572695456,0.0001525382933433789,unbiased_M_times_M_minus_1,74,0.02958816473410636,2.5943551655465518,2.2136483751588187,0.7162162162162162
