fraction_saturated,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
0.03,physics mean + RBF,0.7363403885584671,0.0029517417790035417,33,2.729945880011963,0.2237477789892005,33,0.43001494672305834,0.08514667387424046,33,7.737206108277269,4.136485922704494,33,0.9362041467304625,0.01400296613300623,33,0.998012916045703,0.0004524209371099617,33,11.455164044141991,0.01559832068554104,33,12.12663869591963,0.13255914085426357,33
0.03,physics mean + space-time,0.7314493193382186,0.003090431122918303,33,2.725952788545486,0.20803819796960718,33,0.43578236594877406,0.08097841127880186,33,7.719779124620989,4.110040201915554,33,0.9338118022328549,0.014888220575158425,33,0.9979281014866781,0.0004943176463581572,33,11.357513389772947,0.013646423701320427,33,12.043635276544421,0.16389932946104607,33
0.03,physics mean + advective space-time,0.7180737885748313,0.005775219727357718,33,2.7060948413986377,0.16983704210872955,33,0.43490594963896106,0.08039773175166863,33,7.706514541383518,4.035303813085942,33,0.9334130781499203,0.016094703932340335,33,0.9979281014866781,0.0005043232498096458,33,11.134766573109564,0.09412963250326556,33,11.772207523812693,0.1992950777337929,33
0.03,physics mean + forced space-time,0.598042378462596,0.00431545396532702,33,2.5730814974403606,0.2067700307978783,33,0.452517915316948,0.08652232636976423,33,7.657280197855724,4.104291447667515,33,0.9242424242424242,0.0161252345394802,33,0.9976009596161536,0.0005654592412527338,33,9.083785618867093,0.015822463041518357,33,10.039326328199932,0.1866171293157844,33
0.03,physics mean + advective forced space-time,0.572938833387845,0.010529821399322003,33,2.5619325543994744,0.1988967229982179,33,0.43940620748286463,0.08240538111378305,33,7.626332955745418,4.004212580081665,33,0.9226475279106857,0.014987000858918978,33,0.9975646105194286,0.0005598085431740812,33,8.693804107399243,0.18822684319291122,33,9.481260199553153,0.36613283447283496,33
0.03,physics mean + advective forced + source amplitude,0.5723232197044077,0.010695874729299894,33,2.504701809486344,0.20389153388682604,33,0.43944741050767877,0.08237371988713617,33,7.632614823271766,3.989892994368543,33,0.9346092503987241,0.012944339546651357,33,0.9979281014866781,0.00048410528886142233,33,8.705852289806117,0.18424483739864855,33,9.87425008832058,0.37835682923634945,33
