family,method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
Diagonal,legacy physics mean + RBF,0.7296427809513855,0.001961612606812537,7,2.9591608991280816,0.16251427515554792,7,1.5662488668436403,0.053472943276217856,7,0.4260675287136736,0.02220386360779576,7,5.190468884043663,1.900401077572237,7,0.9285714285714286,0.012840790433533294,7,0.9977723196435713,0.00039020394760032535,7,11.457001132418716,0.022159530911488732,7,12.112932175683728,0.1042946708340492,7
Diagonal,legacy physics mean + stochastic ST,0.5932331982631086,0.004145475253303663,7,2.7783470132609738,0.16320731170855698,7,1.5451147830405085,0.07542136437529504,7,0.4453910287551985,0.03511162120511763,7,5.124171227007041,2.1707126850457863,7,0.9172932330827068,0.009946433500242796,7,0.9974867195978752,0.00030225067813613243,7,9.088573264078947,0.020040031181368673,7,10.118066179695106,0.2379510749328186,7
Diagonal,legacy physics mean + advective stochastic ST,0.5657805761632977,0.015723831778997607,7,2.6593882454027784,0.2869444870517113,7,1.4219469165637602,0.05849347736090062,7,0.4177820211256468,0.04067589580183996,7,5.181310204383968,2.5460225444189524,7,0.9210526315789475,0.02009901620594664,7,0.9976009596161536,0.0006107657863462602,7,8.703209789216592,0.27869411845193554,7,9.767323040273055,0.4260654022465016,7
Diagonal,observed-clipped mean + advective stochastic ST,0.5727763083817523,0.014761508785285848,7,2.732865065501972,0.2531473573867988,7,1.4403382706756178,0.1116601061301127,7,0.4453660655415866,0.04325235051667676,7,5.268348458238263,2.3238415646459756,7,0.9116541353383459,0.014640753691162807,7,0.9972582395613184,0.0004274470082566057,7,8.700253647868001,0.2840501210862101,7,9.628779388794474,0.47507140280743626,7
Diagonal,posterior mean + RBF,0.7321110159050459,0.003764045159669284,7,2.4487399396460026,0.23097041450960046,7,1.4754155835677376,0.12200645320360257,7,0.4220912052205358,0.01797285156665175,7,5.442668149730472,3.3333735408393697,7,0.9454887218045113,0.014066381153285474,7,0.998343519734963,0.0004274470082565253,7,11.462050822254335,0.019684163762591134,7,12.24910935646139,0.1580087996717935,7
Diagonal,posterior mean + stochastic ST,0.5992376438659861,0.00872238995567683,7,2.4067462434434574,0.17746540956285425,7,1.5332141430583373,0.24653296407711087,7,0.4547789068939124,0.027317489036183286,7,5.35716990729443,3.4358166039667575,7,0.9266917293233082,0.0167423423757987,7,0.997715199634432,0.0004449009518305949,7,9.092701505981719,0.02005774977126884,7,10.27764176726871,0.35359917331428853,7
Diagonal,posterior mean + advective stochastic ST,0.5729718029446401,0.013473183001781302,7,2.348908141379782,0.16484995204973604,7,1.4442065819986947,0.24782206885019617,7,0.43633354455559775,0.03306188809620699,7,5.468502546709154,3.4296606140516306,7,0.9210526315789475,0.013157894736842117,7,0.9976009596161536,0.0003998400639744454,7,8.705835146923516,0.27862606692429925,7,9.820433523959702,0.40859375389389924,7
Diagonal,posterior mean + sequential SPDE,0.8541910995669945,0.0036219554531915985,7,2.4204527365299495,0.17855680082892816,7,1.5645255931317146,0.10910076475577268,7,0.42910501143636354,0.01678531008583295,7,5.418398108390152,3.4206681489120494,7,0.9567669172932332,0.012515654358043977,7,0.99857199977152,0.0004533760172041836,7,13.498979351610974,0.02480276147035927,7,14.716828236316024,0.20549057565642703,7
Horizontal,legacy physics mean + RBF,0.7268412724397142,0.002330252377542642,11,2.720168370565725,0.07342936922812959,11,1.4997639866552346,0.0321028383878613,11,0.52488141862212,0.06387294989303448,11,12.475994710199389,1.6175217755032116,11,0.9461722488038277,0.01093696598149518,11,0.9983642906473773,0.0003323508255072015,11,11.448230956843723,0.012845457182831086,11,12.206765643065411,0.13062029901393485,11
Horizontal,legacy physics mean + stochastic ST,0.5890425757068551,0.0035632006104927712,11,2.496111220679858,0.23245973340044523,11,1.4211324307498543,0.05365864686273255,11,0.5445176620869853,0.06888361618501553,11,12.28427476774378,1.6890154429526612,11,0.9401913875598086,0.006871486419303849,11,0.9981098469703028,0.0003143724082793959,11,9.073425208325494,0.013931799020636184,11,10.093498239290177,0.16758878107906705,11
