method,mean_crps_K_mean,mean_crps_K_std,mean_crps_K_count,fixed_top_01_crps_K_mean,fixed_top_01_crps_K_std,fixed_top_01_crps_K_count,hot_region_crps_K_mean,hot_region_crps_K_std,hot_region_crps_K_count,excess_field_rel_l2_mean,excess_field_rel_l2_std,excess_field_rel_l2_count,peak_absolute_error_K_mean,peak_absolute_error_K_std,peak_absolute_error_K_count,hot_region_95_coverage_mean,hot_region_95_coverage_std,hot_region_95_coverage_count,pointwise_95_coverage_mean,pointwise_95_coverage_std,pointwise_95_coverage_count,mean_95_interval_width_K_mean,mean_95_interval_width_K_std,mean_95_interval_width_K_count,hot_region_95_interval_width_K_mean,hot_region_95_interval_width_K_std,hot_region_95_interval_width_K_count
legacy physics mean + RBF,0.7269515160092284,0.002946660304955379,33,2.7197023455076264,0.22371596596046628,33,1.4823832384087812,0.08302043507497654,33,0.43001494672305834,0.08514667387424046,33,7.737206108277269,4.136485922704494,33,0.9362041467304625,0.014002966133006185,33,0.998012916045703,0.0004524209371099197,33,11.455164044141991,0.015598320685541175,33,12.12663869591963,0.1325591408542635,33
legacy physics mean + stochastic ST,0.5905967821945358,0.004305911730763422,33,2.564580469171003,0.2068215919033991,33,1.4339611471486848,0.08473152442282099,33,0.45251791531694807,0.08652232636976427,33,7.657280197855724,4.104291447667515,33,0.9242424242424242,0.016125234539480175,33,0.9976009596161536,0.0005654592412527532,33,9.083785618867093,0.015822463041518287,33,10.039326328199932,0.1866171293157843,33
legacy physics mean + advective stochastic ST,0.5658128501699854,0.010383632595168868,33,2.5537976268283353,0.19891374290713199,33,1.3570203283724027,0.07750986486075086,33,0.43940620748286463,0.08240538111378302,33,7.626332955745418,4.004212580081665,33,0.9226475279106857,0.014987000858918895,33,0.9975646105194286,0.000559808543174084,33,8.693804107399243,0.18822684319291122,33,9.481260199553153,0.36613283447283496,33
observed-clipped mean + advective stochastic ST,0.5721050148651591,0.010224397814775698,33,2.571266622890299,0.2142865056358542,33,1.362712084346343,0.08360730679994935,33,0.4664355477420449,0.0892771395503296,33,7.654948898522193,3.974567394442176,33,0.9210526315789473,0.017092606653640194,33,0.9975646105194286,0.0005323622738495912,33,8.693684878784744,0.18977863611334533,33,9.458016131105873,0.35298795595091553,33
posterior mean + RBF,0.7287493462720157,0.0035031271810099557,33,2.27918712691028,0.2551067926375256,33,1.3790799676638137,0.09034203958263103,33,0.4240920105334662,0.07825405100041073,33,7.467915203226636,4.041938528477966,33,0.9477671451355663,0.014142766266057774,33,0.9983642906473774,0.00048316618945359044,33,11.458040706976165,0.01582082116881945,33,12.213283352572118,0.1426397745692776,33
posterior mean + stochastic ST,0.5959389693491262,0.007481050875217877,33,2.217577076235239,0.26480515260715287,33,1.4109068765327144,0.15515943244878388,33,0.4636171603552611,0.0833652534960603,33,7.4145992147922195,4.048566339638686,33,0.9318181818181818,0.017546974404522225,33,0.9978190541965033,0.000600516891336417,33,9.088452225810405,0.018008646616463064,33,10.152776710375191,0.26669047531221773,33
posterior mean + advective stochastic ST,0.5696285992897626,0.00973992907154057,33,2.2225073985843617,0.23569182589373425,33,1.2951286282610561,0.14561319185713278,33,0.44120054133855907,0.07951044159384661,33,7.424240297533644,3.954557831693531,33,0.9290271132376395,0.016094703932340228,33,0.9977827050997784,0.0005297966575968796,33,8.696305829728564,0.18757686986916514,33,9.502993905924738,0.3826213188456448,33
posterior mean + sequential SPDE,0.8510666069905968,0.0035497600333496957,33,2.2604334546784237,0.22485372079196161,33,1.4752517115004706,0.08333629577354922,33,0.4317089115571139,0.07889259555548342,33,7.468890901834314,4.055691852194927,33,0.9645135566188198,0.012519396518198703,33,0.9988489452703767,0.00042122889521093023,33,13.49128179782011,0.01906589440578112,33,14.59249536205828,0.20713724129057168,33
