trajectory,method,diffusivity_m2_s,cooling_rate_1_s,signal_sd_K,source_coupling,n_frames,n_observations,n_saturated,threshold_K,excess_field_rel_l2,hot_region_rel_l2,peak_true_K,peak_predicted_K,peak_absolute_error_K,posterior_sd_at_true_peak_K,true_peak_in_95,pointwise_95_coverage,hot_region_95_coverage,mean_crps_K,hot_region_crps_K,mean_95_interval_width_K,hot_region_95_interval_width_K,hot_region_interval_score_K,interval_calibration_scale,calibrated_true_peak_in_95,calibrated_hot_region_95_coverage,calibrated_hot_region_95_interval_width_K,calibrated_hot_region_interval_score_K,fixed_top_01_crps_K,fixed_top_01_mae_K,fixed_top_03_crps_K,fixed_top_03_mae_K,fixed_top_05_crps_K,fixed_top_05_mae_K,fixed_top_10_crps_K,fixed_top_10_mae_K,true_peak_location_crps_K,true_peak_location_mae_K,field_maximum_crps_K,family,run_index,role,fraction_saturated,joint_lag_s,observation_design,crps_estimator,sequential_forcing_multiplier,sequential_forcing_marginal_variance_K2,previous_n_saturated,previous_saturated_fraction,previous_clipped_hot_mae_K,previous_posterior_hot_mae_K,previous_posterior_hot_95_coverage
DiagonalScanPath_1,legacy physics mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.43950200809426454,0.42949468511492495,334.19579037327884,340.2588088609208,6.063018487641955,3.4196267389530575,True,0.9984006397441023,0.9473684210526315,0.7287507041357201,1.5005903161499337,11.4465492252087,12.17907139387774,19.87242809933087,1.0,True,0.9473684210526315,12.17907139387774,19.87242809933087,2.7149736516812357,3.8781561627066004,1.5005903161499337,1.8940065583876304,1.2412836268705538,1.318772541357715,0.9717139036618041,0.7253779157476575,4.249118775051999,6.063018487641955,4.2491187750519455,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,legacy physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,294.6560504149699,0.47763243549513584,0.4347607596836339,334.19579037327884,340.15595385199447,5.960163478715629,2.9480181694010383,False,0.9976009596161536,0.9210526315789473,0.5940236941197773,1.4991819459630682,9.086195879299,10.11521803598112,20.23924512509549,1.0,False,0.9210526315789473,10.11521803598112,20.23924512509549,2.823289033851878,3.7837120881027078,1.4991819459630682,1.9507065365410363,1.241268028842876,1.5824087019515747,0.9157717541447916,0.9599868242527384,4.402022805359475,5.960163478715629,4.4020228053594375,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,legacy physics mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,294.6560504149699,0.4587282622228313,0.4282783763184296,334.19579037327884,340.4908450619904,6.295054688711559,2.8321385340445207,False,0.9976009596161536,0.9210526315789473,0.5689507074602634,1.4520237367733098,8.699473193809538,9.458503451492492,20.228762090659025,1.0,False,0.9210526315789473,9.458503451492492,20.228762090659025,2.737768354356393,3.7541933611972547,1.4520237367733098,1.9199037180640899,1.1454423105168707,1.3769862742883054,0.8404461270664336,0.7961931975608277,4.61421827879239,6.295054688711559,4.614218278792416,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,observed-clipped mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,294.6560504149699,0.4943173387239885,0.43555992366695884,334.19579037327884,340.47759910432984,6.281808731051001,2.8278563958258602,False,0.9972011195521792,0.9210526315789473,0.5778284997977976,1.4921617412132266,8.702035455584546,9.341796962316328,20.45828999348673,1.0,False,0.9210526315789473,9.341796962316328,20.45828999348673,2.9022170002485463,3.937493802856741,1.4921617412132266,1.9412903151802248,1.1935942928926204,1.4524746060280842,0.8763285735623935,0.8979180659182107,4.492791096066405,6.281808731051001,4.4927910960663855,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,posterior mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.41126761432114145,0.3646335642413554,334.19579037327884,341.7546100582232,7.558819684944353,3.4196267389530575,False,0.9984006397441023,0.9473684210526315,0.7277102825785405,1.2953732352124967,11.458373065401833,12.268892430313748,16.856138935320498,1.0,False,0.9473684210526315,12.268892430313748,16.856138935320498,2.061875950997414,2.715919230552535,1.2953732352124967,1.4827566915955768,1.1383602268058695,1.1747886842811777,0.922182194617394,0.716558430698642,5.119450473836071,7.558819684944353,5.119450473836057,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,posterior mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,294.6560504149699,0.4621990165546303,0.38828840730705694,334.19579037327884,341.5508705156709,7.355080142392069,2.948017879050641,False,0.9976009596161536,0.9210526315789473,0.5959352459597911,1.3542652777041506,9.079519895150407,10.132693751245316,18.39079655223693,1.0,False,0.9210526315789473,10.132693751245316,18.39079655223693,2.2427012415400798,2.8555942535387633,1.3542652777041506,1.7193798299927068,1.1716167931130224,1.4821849049343825,0.8885178795704829,0.9477318908076209,5.70028782503271,7.355080142392069,5.700287825032719,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,posterior mean + advective stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,5,294.6560504149699,0.42743486618376997,0.36600280582658395,334.19579037327884,341.798464043154,7.602673669875173,2.829160921889933,False,0.9976009596161536,0.9210526315789473,0.5673437749081106,1.2346373286073693,8.695914483796404,9.437525966212343,18.086020593221868,1.0,False,0.9210526315789473,9.437525966212343,18.086020593221868,2.1890734922639883,2.7875994812598672,1.2346373286073693,1.5214201076555538,1.021424885890849,1.1918488699760277,0.7858625878705241,0.7473702640345731,5.952221666395463,7.602673669875173,5.95222166639549,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_1,posterior mean + sequential SPDE,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,2,294.6560504149699,0.42295753212380804,0.37002308726555055,334.19579037327884,341.74565784712,7.549867473841175,4.079525861034696,True,0.998000799680128,0.9605263157894737,0.8510379085910404,1.4155397879924934,13.492233792401057,14.432732816545695,17.05438794815002,1.0,True,0.9605263157894737,14.432732816545695,17.05438794815002,2.1661544462427087,2.736517294721455,1.4155397879924934,1.5323059585794994,1.2637171730199983,1.2443994603067363,1.0506631482837898,0.7606073098955256,5.293482446885303,7.549867473841175,5.293482446885234,Diagonal,1,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,32.0,16.524769407829076,80,0.03198720511795282,2.4641246778438686,1.9472581032091476,0.675
DiagonalScanPath_2,legacy physics mean + RBF,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,1,117,1,294.7833581687172,0.46183134470927656,0.4632933005787223,330.73381085494185,326.574465425674,4.15934542926783,3.4196267389530575,True,0.9976009596161536,0.9210526315789473,0.7299382220827231,1.5835706800233298,11.464410107955041,12.048919693448704,19.78287695404959,1.0,True,0.9210526315789473,12.048919693448704,19.78287695404959,3.0583160571424433,4.2186123024643685,1.5835706800233298,1.8689513971214764,1.247827934274886,1.234752022985273,0.9850099125358671,0.6583740784457094,2.936434154585994,4.15934542926783,2.584916888412374,Diagonal,2,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,84,0.03358656537385046,2.339937577663688,2.1268274818153,0.5833333333333334
DiagonalScanPath_2,legacy physics mean + stochastic ST,3.6109129986233175e-06,12.422901570529978,3.4305133895116966,0.17022272061337845,2,234,3,294.7833581687172,0.4968069240437258,0.4710014186102449,330.73381085494185,326.6094616516928,4.124349203249039,2.9480178168869924,True,0.9972011195521792,0.9078947368421053,0.5939986800735179,1.5367844513332407,9.091250495765005,9.809499620216098,21.232424525872258,1.0,True,0.9078947368421053,9.809499620216098,21.232424525872258,3.0473690369931057,4.2225441848899115,1.5367844513332407,1.9805480900381771,1.2192078523300278,1.4576171816656882,0.9010634075988817,0.848185099695873,2.3038149532052525,4.124349203249039,2.173807890992064,Diagonal,2,evaluation,0.03,0.01,shared_current_fixed_stride,unbiased_M_times_M_minus_1,,,84,0.03358656537385046,2.339937577663688,2.1268274818153,0.5833333333333334
