comparison,method,baseline,n_held_out,mean_crps_K_mean_change,mean_crps_K_median_change,mean_crps_K_win_count,fixed_top_01_crps_K_mean_change,fixed_top_01_crps_K_median_change,fixed_top_01_crps_K_win_count,hot_region_crps_K_mean_change,hot_region_crps_K_median_change,hot_region_crps_K_win_count,excess_field_rel_l2_mean_change,excess_field_rel_l2_median_change,excess_field_rel_l2_win_count,peak_absolute_error_K_mean_change,peak_absolute_error_K_median_change,peak_absolute_error_K_win_count,hot_region_95_coverage_mean_change,hot_region_95_coverage_median_change,hot_region_95_coverage_win_count
stationary covariance with legacy mean,legacy physics mean + stochastic ST,legacy physics mean + RBF,30,-0.1359177285587952,-0.1363292681645712,30,-0.14051273405213982,-0.08316764334111104,22,-0.042605549167565614,-0.04688691333841488,25,0.025323448847792984,0.026584269383816084,1,-0.09286814794259991,-0.06413008762933714,20,-0.012280701754385948,-0.013157894736842035,3
advection in stationary covariance,legacy physics mean + advective stochastic ST,legacy physics mean + stochastic ST,30,-0.025123091797513982,-0.02261745248473479,30,-0.014933022648105166,-0.017250989288907226,18,-0.08086912204800724,-0.07439492251441471,28,-0.014494784854456818,-0.013157780502422,20,-0.04764445858363994,-0.04403624020497432,20,-0.0017543859649122788,0.0,6
remove latent-noiseless previous-frame input,observed-clipped mean + advective stochastic ST,legacy physics mean + advective stochastic ST,30,0.006369050739144829,0.005946891097556806,0,0.022692473895342367,0.021520750833392777,12,0.009728758077512405,-2.5156266692749618e-05,15,0.027936649690551707,0.026702060304432784,1,0.029102956207532317,0.00064615612899388,15,-0.0008771929824561431,0.0,7
posterior-mean effect with RBF,posterior mean + RBF,legacy physics mean + RBF,30,0.0019370917632548798,0.0018747609845680135,5,-0.4469621762419806,-0.4387329438635338,30,-0.09953216107747177,-0.08793583857352849,29,-0.0052310395292418915,-0.0014010714740239072,17,-0.2805937301724953,-0.5803146122746057,19,0.012280701754385948,0.013157894736842035,17
posterior-mean effect with stationary covariance,posterior mean + stochastic ST,legacy physics mean + stochastic ST,30,0.005576419696038963,0.005127908225322164,2,-0.35879262975466675,-0.34051497692385757,30,-0.016293850500374938,-0.045135836317606426,20,0.012069580091199562,0.009929500140525488,6,-0.2500818447742707,-0.5196985142748929,19,0.008333333333333323,0.013157894736842035,16
posterior-mean effect with advective stationary covariance,posterior mean + advective stochastic ST,legacy physics mean + advective stochastic ST,30,0.003994492876586545,0.003530379829655983,2,-0.33492879389219,-0.27475169342307715,29,-0.057559231090946746,-0.06785414352636765,28,0.0022781849875880464,-0.0009879370014983235,17,-0.19903382649335982,-0.3997933764468655,20,0.007456140350877179,0.013157894736842035,16
best joint covariance versus posterior RBF,posterior mean + advective stochastic ST,posterior mean + RBF,30,-0.1589834192429775,-0.15818210411655814,30,-0.043412374350454294,-0.014696127790190472,17,-0.08150174122904787,-0.09678647570698884,29,0.018337888510166097,0.01860980109362842,3,-0.058952702847104396,-0.03869429837868665,17,-0.018859649122806996,-0.013157894736842146,1
sequential versus joint stationary inference,posterior mean + sequential SPDE,posterior mean + advective stochastic ST,30,0.2812868814980665,0.280838543000276,0,0.027346180569896912,-0.0009720630455982704,15,0.17743776919645027,0.19084520688111684,1,-0.01041114791314801,-0.010919250346060394,22,0.05987014236633665,0.028503453687704905,12,0.03508771929824562,0.026315789473684292,29
